Rank,Beer,# of Ratings,Avg. Rating
112,Black Tuesday The Bruery American Imperial Stout | 19.50%,4197,4.54
113,Scaled Way Up Trillium Brewing Company New England IPA | 8.00%,544,4.55
114,Alter Ego Tree House Brewing Company New England IPA | 6.80%,2604,4.54
115,Saint Lamvinus Brasserie Cantillon Fruit Lambic | 7.00%,2292,4.54
116,Miami Madness J. Wakefield Brewing Fruited Kettle Sour | 5.50%,499,4.55
117,Society & Solitude #5 Hill Farmstead Brewery New England IPA | 8.10%,1643,4.54
118,Sunday Brunch - Bourbon Barrel-Aged Kane Brewing Company Imperial Porter | 11.00%,116,4.59
119,Last Buffalo In The Park Funky Buddha Brewery Imperial Porter | 11.50%,908,4.54
120,Black Gold Central Waters Brewing Co. American Imperial Stout | 11.00%,869,4.54
121,Beyond Good And Evil Hill Farmstead Brewery American Imperial Stout | 10.00%,779,4.54
122,Kaggen! Stormaktsporter Närke Kulturbryggeri AB Russian Imperial Stout | 10.00%,225,4.56
123,XTRA DUBL Benthic Half Acre Beer Company American Imperial Stout | 13.50%,59,4.64
124,Gggreennn! Tree House Brewing Company New England IPA | 7.50%,554,4.54
125,JJJuiceee Machine Tree House Brewing Company New England IPA | 8.60%,200,4.56
126,Chocolate Rain The Bruery American Imperial Stout | 19.60%,2869,4.53
127,Fundamental Forces Bottle Logic Brewing American Imperial Stout | 16.20%,287,4.55
128,Double Nelson Hill Farmstead Brewery New England IPA | 8.00%,473,4.54
129,Truth Tree House Brewing Company American Imperial Stout | 12.30%,86,4.6
130,Pseudo Sue - Double Dry-Hopped Toppling Goliath Brewing Company American Pale Ale | 6.80%,1357,4.53
131,Double Shot Tree House Brewing Company American Imperial Stout | 8.20%,1215,4.53
132,Emperor Julius Tree House Brewing Company New England IPA | 8.80%,246,4.55
133,Parabajava Firestone Walker Brewing Co. Russian Imperial Stout | 14.00%,937,4.53
134,Notorious Triple IPA Boneyard Beer Company Imperial IPA | 12.00%,894,4.53
135,§ucaba Firestone Walker Brewing Co. English Barleywine | 12.50%,5507,4.52
136,Moment Of Clarity Tree House Brewing Company Sweet / Milk Stout | 7.70%,557,4.53
137,Plead The 5th - Bourbon Barrel-Aged Dark Horse Brewing Company Russian Imperial Stout | 11.00%,3369,4.52
138,Speedway Stout - Bourbon Barrel-Aged AleSmith Brewing Company American Imperial Stout | 13.30%,2354,4.52
139,Canuckley Transient Artisan Ales American Imperial Stout | 14.50%,189,4.55
140,Modem Tones - Bourbon Barrel-Aged - Vanilla Modern Times Beer American Imperial Stout | 14.40%,145,4.56
141,Cutting Tiles - Mosaic Trillium Brewing Company New England IPA | 8.50%,1420,4.52
142,Twice the Daily Serving: Raspberry Trillium Brewing Company Fruited Kettle Sour | 7.00%,60,4.62
143,The Greenest Green Tree House Brewing Company New England IPA | 8.80%,113,4.57
144,In Perpetuity Tree House Brewing Company New England IPA | 6.70%,1108,4.52
145,King Sue - Double Dry-Hopped Toppling Goliath Brewing Company New England IPA | 7.80%,389,4.53
146,Wide Awake It's Morning Funky Buddha Brewery Imperial Porter | 10.00%,1004,4.52
147,Blåbær Lambik Brasserie Cantillon Fruit Lambic | 5.00%,883,4.52
148,Framboos Brouwerij 3 Fonteinen Fruit Lambic | 5.00%,875,4.52
149,Smooth Side Project Brewing Wild Ale | 6.00%,227,4.54
150,Great Alpine Beer Company American Barleywine | 14.00%,766,4.52
151,Appervation Jackie O's Brewpub American Imperial Stout | 15.00%,339,4.53
152,Double Dry Hopped Double Mosaic Dream Other Half Brewing Company New England IPA | 8.50%,737,4.52
153,Breakfast Stout Founders Brewing Company Oatmeal Stout | 8.30%,17894,4.51
154,Art Hill Farmstead Brewery Saison | 6.50%,539,4.52
155,Double Dry Hopped Double Mosaic Daydream Other Half Brewing Company New England IPA | 8.50%,521,4.52
156,Pirate Bomb! Prairie Artisan Ales American Imperial Stout | 15.00%,2463,4.51
157,Dorothy (Wine Barrel Aged) Hill Farmstead Brewery Saison | 7.00%,275,4.53
158,Leaner Side Project Brewing Saison | 8.00%,118,4.56
159,Grey Monday The Bruery American Imperial Stout | 19.90%,1927,4.51
160,Affogato - Bourbon Barrel-Aged Trillium Brewing Company American Imperial Stout | 14.90%,184,4.54
161,Lou Pepe - Gueuze Brasserie Cantillon Gueuze | 5.00%,1268,4.51
162,Label Us Notorious - Calvados BA Big Poppa J. Wakefield Brewing American Imperial Stout | 17.00%,82,4.58
163,Society & Solitude #6 Hill Farmstead Brewery New England IPA | 8.10%,1042,4.51
164,Upper Case Trillium Brewing Company New England IPA | 9.00%,1033,4.51
165,Montmorency Vs Balaton Jester King Brewery Wild Ale | 6.10%,943,4.51
166,Ground State Bottle Logic Brewing American Imperial Stout | 13.40%,673,4.51
167,Double Dry Hopped Mylar Bags Other Half Brewing Company New England IPA | 8.50%,671,4.51
168,Barrel-Aged Sump Coffee Stout Perennial Artisan Ales American Imperial Stout | 10.50%,650,4.51
169,Foggier Window Monkish Brewing Co. New England IPA | 8.10%,315,4.52
170,Cutting Tiles - Galaxy Trillium Brewing Company New England IPA | 8.50%,611,4.51
171,Trappistes Rochefort 10 Brasserie de Rochefort Quadrupel (Quad) | 11.30%,9931,4.5
172,Impermanence Tree House Brewing Company Sweet / Milk Stout | 9.20%,557,4.51
173,Pseudo Sue Toppling Goliath Brewing Company American Pale Ale | 5.80%,5752,4.5
174,BDCS Ozark Beer Co. Sweet / Milk Stout | 10.20%,551,4.51
175,Abrasive Ale Surly Brewing Company Imperial IPA | 9.20%,4827,4.5
176,Midnight Still Holy Mountain Brewing Company American Imperial Stout | 12.50%,191,4.53
177,DFPF J. Wakefield Brewing Berliner Weisse | 3.50%,491,4.51
178,Susan Hill Farmstead Brewery American IPA | 6.20%,2109,4.5
179,Speedway Stout - Vietnamese Coffee AleSmith Brewing Company American Imperial Stout | 12.00%,2008,4.5
180,Hunahpu's Imperial Stout - Bourbon Barrel-Aged Cigar City Brewing American Imperial Stout | 14.60%,435,4.51
181,Double Dry Hopped Melcher Street Trillium Brewing Company New England IPA | 7.20%,1400,4.5
182,"Somewhere, Something Incredible Is Waiting To Be Known Tree House Brewing Company Sweet / Milk Stout | 7.90%",423,4.51
183,Fort Point Pale Ale - Mosaic Dry Hopped Trillium Brewing Company American Pale Ale | 6.60%,1296,4.5
