ABV (%),Beer ID,Beer Name,Beer Style,Brewery ID,Ounces,Brewery Name,City,State
5.0,1162,Oatmeal PSA,American Pale Ale (APA),367,16.0,Airways Brewing Company,Kent, WA
5.2,1137,Pre Flight Pilsner,American Pilsner,367,16.0,Airways Brewing Company,Kent, WA
4.0,2403,P-Town Pilsner,American Pilsner,117,12.0,Alameda Brewing,Portland, OR
5.3,2402,Klickitat Pale Ale,American Pale Ale (APA),117,12.0,Alameda Brewing,Portland, OR
8.19999999999999,2401,Yellow Wolf Imperial IPA,American Double / Imperial IPA,117,12.0,Alameda Brewing,Portland, OR
5.3,1921,Freeride APA,American Pale Ale (APA),270,12.0,Alaskan Brewing Company,Juneau, AK
5.3,1920,Alaskan Amber,Altbier,270,12.0,Alaskan Brewing Company,Juneau, AK
5.7,2501,Hopalicious,American Pale Ale (APA),73,12.0,Ale Asylum,Madison, WI
4.3,1535,Kentucky Kölsch,Kölsch,388,16.0,Alltech's Lexington Brewing Company,Lexington, KY
6.5,1149,Kentucky IPA,American IPA,388,16.0,Alltech's Lexington Brewing Company,Lexington, KY
5.4,1474,Dusty Trail Pale Ale,American Pale Ale (APA),401,16.0,Amnesia Brewing Company,Washougal, WA
6.2,1473,Damnesia,American IPA,401,16.0,Amnesia Brewing Company,Washougal, WA
6.2,837,Desolation IPA,American IPA,401,16.0,Amnesia Brewing Company,Washougal, WA
5.8999999999999995,2592,Liberty Ale,American IPA,35,12.0,Anchor Brewing Company,San Francisco, CA
6.5,2578,IPA,American IPA,35,12.0,Anchor Brewing Company,San Francisco, CA
4.5,2577,Summer Wheat,American Pale Wheat Ale,35,12.0,Anchor Brewing Company,San Francisco, CA
4.9,2103,California Lager,American Amber / Red Lager,35,12.0,Anchor Brewing Company,San Francisco, CA
5.59999999999999,2102,Brotherhood Steam,California Common / Steam Beer,35,12.0,Anchor Brewing Company,San Francisco, CA
4.2,2291,Blood Orange Gose,Gose,171,12.0,Anderson Valley Brewing Company,Boonville, CA
4.2,1818,Keebarlin' Pale Ale,American Pale Ale (APA),171,12.0,Anderson Valley Brewing Company,Boonville, CA
4.8,1738,"the Kimmie, the Yink and the Holy Gose",Gose,171,12.0,Anderson Valley Brewing Company,Boonville, CA
6.0,1563,Fall Hornin',Pumpkin Ale,171,12.0,Anderson Valley Brewing Company,Boonville, CA
5.7,1520,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,Anderson Valley Brewing Company,Boonville, CA
5.59999999999999,1350,Summer Solstice,Cream Ale,171,12.0,Anderson Valley Brewing Company,Boonville, CA
7.000000000000001,1327,Hop Ottin' IPA,American IPA,171,12.0,Anderson Valley Brewing Company,Boonville, CA
5.79999999999999,1326,Boont Amber Ale,American Amber / Red Ale,171,12.0,Anderson Valley Brewing Company,Boonville, CA
5.7,1221,Barney Flats Oatmeal Stout,Oatmeal Stout,171,12.0,Anderson Valley Brewing Company,Boonville, CA
5.5,1217,El Steinber Dark Lager,Vienna Lager,171,16.0,Anderson Valley Brewing Company,Boonville, CA
5.79999999999999,811,Boont Amber Ale (2010),American Amber / Red Ale,171,12.0,Anderson Valley Brewing Company,Boonville, CA
5.59999999999999,753,Summer Solstice Cerveza Crema (2009),Cream Ale,171,12.0,Anderson Valley Brewing Company,Boonville, CA
5.7,572,Barney Flats Oatmeal Stout (2012),Oatmeal Stout,171,12.0,Anderson Valley Brewing Company,Boonville, CA
6.9,523,Winter Solstice,Winter Warmer,171,12.0,Anderson Valley Brewing Company,Boonville, CA
7.000000000000001,367,Hop Ottin' IPA (2011),American IPA,171,12.0,Anderson Valley Brewing Company,Boonville, CA
5.79999999999999,78,Boont Amber Ale (2011),American Amber / Red Ale,171,12.0,Anderson Valley Brewing Company,Boonville, CA
5.59999999999999,77,Summer Solstice (2011),Cream Ale,171,12.0,Anderson Valley Brewing Company,Boonville, CA
5.5,76,Poleeko Gold Pale Ale (2009),American Pale Ale (APA),171,12.0,Anderson Valley Brewing Company,Boonville, CA
6.0,2337,Charlie's Rye IPA,American IPA,146,16.0,Angry Minnow,Hayward, WI
5.4,410,River Pig Pale Ale,American Pale Ale (APA),542,16.0,Angry Minnow Brewing Company,Hayward, WI
4.7,409,Oaky's Oatmeal Stout,Oatmeal Stout,542,16.0,Angry Minnow Brewing Company,Hayward, WI
