City,State,% Age Over 19
Lafayette-West Lafayette,Indiana,0.7370109786434901
Lake Charles,Louisiana,0.7301128530818304
Lake Havasu City-Kingman,Arizona,0.819217058964041
Lakeland-Winter Haven,Florida,0.7547430725130057
Lancaster,Pennsylvania,0.7404542925881239
Lansing-East Lansing,Michigan,0.7585089980954355
Laredo,Texas,0.6466662934557466
Las Cruces,New Mexico,0.7229084276865847
Las Vegas-Henderson-Paradise,Nevada,0.751196086676589
Lawrence,Kansas,0.7637710178195923
Lawton,Oklahoma,0.7264608798601256
Lebanon,Pennsylvania,0.7495626964381538
"Lewiston, I",Washington,0.7690397989236866
Lewiston-Auburn,Maine,0.7608660410324766
Lexington-Fayette,Kentucky,0.7505281492953504
Lima,Ohio,0.7384085767679748
Lincoln,Nebraska,0.7361808971784507
Little Rock-North Little Rock-Conway,Arkansas,0.7440021519809944
"Logan, U",Idaho,0.6573581531137602
Longview,Texas,0.7282782386371531
Longview,Washington,0.7545909400667121
Los Angeles-Long Beach-Anaheim,California,0.7635800150999976
"Louisville/Jefferson County, K",Indiana,0.7548043463706808
Lubbock,Texas,0.716816553674922
Lynchburg,Virginia,0.7666877654828451
Macon-Bibb County,Georgia,0.7402932235348444
Madera,California,0.6995608807477574
Madison,Wisconsin,0.768117766396412
Manchester-Nashua,New Hampshire,0.7789492052188389
Manhattan,Kansas,0.7199698354388794
Mankato,Minnesota,0.7421051615642976
Mansfield,Ohio,0.7598226766244658
McAllen-Edinburg-Mission,Texas,0.6503891607486062
Medford,Oregon,0.7744017449292463
"Memphis, TN-M",Arkansas,0.7285306596871648
Merced,California,0.6709115726049968
Miami-Fort Lauderdale-Pompano Beach,Florida,0.777333333114458
Michigan City-La Porte,Indiana,0.7671323071447638
Midland,Michigan,0.7642378709994369
Midland,Texas,0.6813373368749278
Milwaukee-Waukesha,Wisconsin,0.7460176816022093
"Minneapolis-St. Paul-Bloomington, M",Wisconsin,0.7424086414026021
Missoula,Montana,0.7856324194992178
Mobile,Alabama,0.743309513801317
Modesto,California,0.7029397883178812
Monroe,Louisiana,0.732048378594717
Monroe,Michigan,0.7683965119723843
Montgomery,Alabama,0.7430131830647126
Morgantown,West Virginia,0.7833386621194358
Morristown,Tennessee,0.7668624656772445
Mount Vernon-Anacortes,Washington,0.7668023504927465
Muncie,Indiana,0.7644519133645001
Muskegon,Michigan,0.7506501011268419
"Myrtle Beach-Conway-North Myrtle Beach, S",North Carolina,0.8166592780613345
Napa,California,0.7774416880189712
Naples-Marco Island,Florida,0.8164490388103011
Nashville-Davidson--Murfreesboro--Franklin,Tennessee,0.7480879275082039
New Bern,North Carolina,0.7725417712822945
New Haven-Milford,Connecticut,0.770665740419127
New Orleans-Metairie,Louisiana,0.7565945379583205
"New York-Newark-Jersey City, NY-N",Pennsylvania,0.7635022418035843
Niles,Michigan,0.7616475398593086
North Port-Sarasota-Bradenton,Florida,0.8257769610123755
Norwich-New London,Connecticut,0.7825524078793177
Ocala,Florida,0.7948615627793685
Ocean City,New Jersey,0.8086053877755826
Odessa,Texas,0.6621288588437592
Ogden-Clearfield,Utah,0.678218073966741
Oklahoma City,Oklahoma,0.7301301913713968
Olympia-Lacey-Tumwater,Washington,0.7683277568402931
"Omaha-Council Bluffs, N",Iowa,0.7217880751762232
Orlando-Kissimmee-Sanford,Florida,0.7607700808900694
Oshkosh-Neenah,Wisconsin,0.7670533669729581
Owensboro,Kentucky,0.7332112483192688
Oxnard-Thousand Oaks-Ventura,California,0.7526554447334076
Palm Bay-Melbourne-Titusville,Florida,0.7990101000927625
Panama City,Florida,0.7735198249687444
Parkersburg-Vienna,West Virginia,0.7700903176339261
Pensacola-Ferry Pass-Brent,Florida,0.7574730628906946
Peoria,Illinois,0.7470745108280766
"Philadelphia-Camden-Wilmington, PA-NJ-D",Maryland,0.7597038243419348
Phoenix-Mesa-Chandler,Arizona,0.7445873503506266
Pine Bluff,Arkansas,0.7637828079433412
Pittsburgh,Pennsylvania,0.7870168231827996
Pittsfield,Massachusetts,0.8095867306092945
Pocatello,Idaho,0.7111409061145583
Portland-South Portland,Maine,0.7959787607314152
"Portland-Vancouver-Hillsboro, O",Washington,0.7721694274434109
Port St. Lucie,Florida,0.7960243962019459
Poughkeepsie-Newburgh-Middletown,New York,0.743020963831725
Prescott Valley-Prescott,Arizona,0.8242250869958266
"Providence-Warwick, R",Massachusetts,0.7747578134044328
Provo-Orem,Utah,0.6368797703764375
Pueblo,Colorado,0.7526618009456321
Punta Gorda,Florida,0.8690997367110956
Racine,Wisconsin,0.7491873882658866
Raleigh-Cary,North Carolina,0.7394047683979202
Rapid City,South Dakota,0.7517449763697448
Reading,Pennsylvania,0.7487923380428656
Redding,California,0.7610835680441861
Reno,Nevada,0.7662958384837247
Richmond,Virginia,0.7610270516033237
Riverside-San Bernardino-Ontario,California,0.7200503749646742
Roanoke,Virginia,0.7750591422466423
Rochester,Minnesota,0.7365452936592839
Rochester,New York,0.7676117285867943
Rockford,Illinois,0.741252773003289
Rocky Mount,North Carolina,0.7544362002299091
Rome,Georgia,0.7389618410262121
Sacramento-Roseville-Folsom,California,0.7493194903600688
Saginaw,Michigan,0.7559430563687095
St. Cloud,Minnesota,0.7245940740297196
St. George,Utah,0.7243941723405813
"St. Joseph, M",Kansas,0.751826878363117
"St. Louis, M",Illinois,0.7573885869749002
Salem,Oregon,0.7368680420736082
Salinas,California,0.7110912936603213
"Salisbury, M",Delaware,0.78517460620703
Salt Lake City,Utah,0.7117969757596823
San Angelo,Texas,0.7234273850781403
San Antonio-New Braunfels,Texas,0.7248430694583878
San Diego-Chula Vista-Carlsbad,California,0.7605327216196617
San Francisco-Oakland-Berkeley,California,0.7834945181585996
San Jose-Sunnyvale-Santa Clara,California,0.7627417483486453
San Luis Obispo-Paso Robles,California,0.7790110856444612
Santa Cruz-Watsonville,California,0.7655307104021031
Santa Fe,New Mexico,0.8109483830645421
Santa Maria-Santa Barbara,California,0.7316019933926872
Santa Rosa-Petaluma,California,0.7846371687244154
Savannah,Georgia,0.74466595773741
Scranton--Wilkes-Barre,Pennsylvania,0.7704553060325847
Seattle-Tacoma-Bellevue,Washington,0.7680140334678365
Sebastian-Vero Beach,Florida,0.829514487174787
Sebring-Avon Park,Florida,0.8144168215613383
Sheboygan,Wisconsin,0.7598325222723297
Sherman-Denison,Texas,0.7365433197450767
Shreveport-Bossier City,Louisiana,0.7375441662062674
Sierra Vista-Douglas,Arizona,0.7630622768742562
"Sioux City, IA-N",South Dakota,0.7082169296218136
Sioux Falls,South Dakota,0.7195114165939608
"South Bend-Mishawaka, I",Michigan,0.7383833547011848
Spartanburg,South Carolina,0.7408713050520449
Spokane-Spokane Valley,Washington,0.7578900897439786
Springfield,Illinois,0.7574311979816142
Springfield,Massachusetts,0.7683908500586074
Springfield,Missouri,0.7464874149243068
Springfield,Ohio,0.7486010041803985
State College,Pennsylvania,0.7835164765405296
Staunton,Virginia,0.7829281091481546
Stockton,California,0.7054281045337657
Sumter,South Carolina,0.749664904037354
Syracuse,New York,0.7578739170658123
Tallahassee,Florida,0.7613018954004397
Tampa-St. Petersburg-Clearwater,Florida,0.7828603944570516
Terre Haute,Indiana,0.7599426748147747
"Texarkana, T",Arkansas,0.7423865628439806
The Villages,Florida,0.9230451643344786
Toledo,Ohio,0.7489929635511016
Topeka,Kansas,0.7431942235784588
Trenton-Princeton,New Jersey,0.7521676712499158
Tucson,Arizona,0.7674572017908234
Tulsa,Oklahoma,0.7317536924260831
Tuscaloosa,Alabama,0.7443314652616978
Twin Falls,Idaho,0.6997219964928788
Tyler,Texas,0.7266912886932618
Urban Honolulu,Hawaii,0.7682712385976481
Utica-Rome,New York,0.7609084424780591
Valdosta,Georgia,0.720318869341343
Vallejo,California,0.7582529731069965
Victoria,Texas,0.7224820895370285
Vineland-Bridgeton,New Jersey,0.7353069447427861
"Virginia Beach-Norfolk-Newport News, V",North Carolina,0.7534292153174575
Visalia,California,0.6679013277322903
Waco,Texas,0.7186051321551343
Walla Walla,Washington,0.7513640279506079
Warner Robins,Georgia,0.7231031621646539
"Washington-Arlington-Alexandria, DC-VA-M",West Virginia,0.7472164424266814
Waterloo-Cedar Falls,Iowa,0.745572004100217
Watertown-Fort Drum,New York,0.7363859151296273
Wausau-Weston,Wisconsin,0.7610250979306693
"Weirton-Steubenville, W",Ohio,0.7854219838214301
Wenatchee,Washington,0.7400236740120965
"Wheeling, W",Ohio,0.7851386670538696
Wichita,Kansas,0.7237802873507336
Wichita Falls,Texas,0.7348821914866488
Williamsport,Pennsylvania,0.7651511817261564
Wilmington,North Carolina,0.7813132853378474
"Winchester, V",West Virginia,0.7563569976921222
Winston-Salem,North Carolina,0.754356229033309
"Worcester, M",Connecticut,0.7658064258973659
Yakima,Washington,0.67765735153397
York-Hanover,Pennsylvania,0.7571834068751417
